,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
63,Fiction,Fiction And Fact,Beast,2011-05-17,234586,58,0.665,0.223,0.665,0.866,0.0,0.373,-3.81,0.056,128.041,4
64,Breath,So Beast,Beast,2011-08-11,211986,40,0.687,0.0358,0.687,0.851,0.0,0.153,-3.986,0.111,128.008,4
65,Replay,Replay - The First Mini Album,SHINee,2008-05-22,216453,50,0.724,0.149,0.724,0.792,1.84e-06,0.11,-2.219,0.084,100.009,4
66,Because of you,Because of You,After School,2009-11-25,240693,51,0.691,0.253,0.691,0.825,0.0,0.339,-3.929,0.033,124.876,4
67,So Cool,SO COOL,SISTAR,2011-08-09,201273,46,0.75,0.0261,0.75,0.944,0.0,0.416,-2.635,0.0455,128.015,4
68,Bo Peep Bo Peep,Absolute First Album,T-ARA,2009-11-27,225040,48,0.824,0.00974,0.824,0.95,0.000118,0.199,-4.163,0.0308,128.031,4
69,Loner,Bluetory,CNBLUE,2010-01-14,217835,53,0.752,0.243,0.752,0.75,0.0,0.296,-3.702,0.068,105.001,4
70,Love,Bluelove,CNBLUE,2010-05-19,227996,46,0.652,0.0678,0.652,0.901,0.0,0.0765,-2.979,0.0678,99.933,4
71,Every End of the Day,The Spring of Twenty,IU,2012-05-11,242207,48,0.65,0.0813,0.65,0.79,0.0,0.311,-4.482,0.0294,108.939,4
72,bang,Afterschool 3rd Single BANG,After School,2010-03-25,198693,50,0.798,0.00325,0.798,0.694,0.0365,0.348,-5.032,0.0415,119.948,4
73,LA chA TA,Hot Summer - The 1st Album Repackage,f(x),2011-06-14,194040,44,0.828,0.0633,0.828,0.898,0.0,0.0758,-2.429,0.042,113.948,4
74,AMIGO,AMIGO - The 1st Album Repackage,SHINee,2008-10-28,179800,41,0.837,0.02,0.837,0.825,0.0,0.302,-1.555,0.0465,117.034,4
75,Mr.,Revolution,KARA,2009-07-30,193613,59,0.781,0.0589,0.781,0.991,0.00104,0.125,-1.502,0.069,126.063,4
76,"쏘리 쏘리 Sorry, Sorry","쏘리 쏘리 Sorry, Sorry - The 3rd Album",SUPER JUNIOR,2009-03-11,232333,61,0.706,0.0226,0.706,0.972,2.57e-06,0.267,-2.359,0.0352,129.946,4
77,Venus,The Return,SHINHWA,2012-03-23,217171,43,0.712,0.0784,0.712,0.881,3.38e-06,0.215,-5.362,0.036,125.989,4
78,What's your name?,Name is 4minute,4Minute,2013-04-25,186775,45,0.738,0.185,0.738,0.889,0.0,0.0661,-3.019,0.073,115.041,4
79,Chu~♡,Hot Summer - The 1st Album Repackage,f(x),2011-06-14,190546,42,0.873,0.0279,0.873,0.711,5.55e-06,0.0756,-2.937,0.0394,125.011,4
80,Wedding Dress,Solar,TAEYANG,2010-07-01,242746,57,0.729,0.122,0.729,0.669,0.0,0.129,-4.73,0.0347,133.943,4
81,Be Mine (INFINITE EFFECT ADVANCE LIVE Ver.),INFINITE EFFECT ADVANCE LIVE,INFINITE,2016-11-10,211626,32,0.583,0.0296,0.583,0.956,0.0,0.434,-4.117,0.119,130.018,4
82,You'll Never Know,Memories & Melodies,Fin.K.L,2001-04-13,206813,23,0.738,0.56,0.738,0.664,0.0,0.0826,-6.431,0.121,90.012,4
83,It′s Raining,It's Raining,Rain,2004-10-08,220760,42,0.783,0.0172,0.783,0.875,0.0233,0.217,-4.486,0.0663,103.953,4
84,U R Man,SS501 스페셜 앨범,SS501,2008-11-21,203678,48,0.81,0.058,0.81,0.905,3.17e-06,0.149,-7.415,0.0342,117.011,4
85,Oh Yeah,JUST BLAQ,MBLAQ,2009-10-14,209228,39,0.8,0.0837,0.8,0.753,1.34e-06,0.0831,-6.688,0.159,119.984,4
86,This Love,The Classic,SHINHWA,2013-05-16,220346,46,0.717,0.0316,0.717,0.789,0.0,0.0978,-3.586,0.076,127.98,4
87,파도,Traveling You,Un,2001-07-11,251846,40,0.64,0.0632,0.64,0.954,0.0,0.387,-3.153,0.0367,138.05,4
88,My Sweetie,No.1 - The 2nd Album,BoA,2002-01-04,218240,30,0.604,0.0545,0.604,0.923,0.0,0.0882,-2.417,0.24,194.006,4
89,HUG,Hug,TVXQ!,2004-01-14,228960,41,0.756,0.225,0.756,0.806,0.0,0.104,-3.867,0.0428,109.956,4
90,너 때문에 미쳐,Breaking Heart,T-ARA,2010-02-23,194587,44,0.709,0.00244,0.709,0.639,0.0697,0.0865,-7.063,0.0399,135.013,4
91,POWER,POWER,B.A.P,2012-04-27,231758,39,0.588,0.0898,0.588,0.966,0.0,0.0524,-2.382,0.0982,93.976,4
92,Clap Your Hands (박수쳐),To Anyone,2NE1,2010-09-09,222426,42,0.836,0.0751,0.836,0.919,0.0,0.191,-2.048,0.136,101.927,4
93,죽어도 못 보내,잘못했어,2am,2010-03-16,195906,47,0.574,0.207,0.574,0.772,0.0,0.151,-3.093,0.03,136.857,4
94,My My,Snow Pink,Apink,2011-11-22,234967,44,0.68,0.0151,0.68,0.949,3.62e-05,0.0433,-2.836,0.039,107.988,4
95,I don't Know,Seven Springs Of Apink,Apink,2011-04-19,224160,45,0.627,0.0708,0.627,0.841,0.0,0.128,-3.398,0.0287,132.052,4
96,Heart To Heart,Heart To Heart,4Minute,2011-03-29,231549,38,0.722,0.403,0.722,0.72,0.0,0.0578,-3.531,0.0404,129.961,4
97,Shady Girl,Shady Girl,SISTAR,2010-08-25,194324,34,0.789,0.0683,0.789,0.881,0.00071,0.0687,-4.049,0.0483,124.979,4
98,Into the New World,Into the New World,Girls' Generation,2007-08-02,267320,51,0.699,0.0531,0.699,0.908,0.0,0.116,-2.108,0.0334,108.023,4
99,NU ABO,NU ABO,f(x),2010-05-04,224333,48,0.703,0.0186,0.703,0.773,0.0,0.279,-3.529,0.0629,95.007,4
